"COD_MINISTRO","NOM_MINISTRO"
190,"ADALÍCIO NOGUEIRA"
191,"ADAUCTO CARDOSO"
274,"ADRIANO JOSÉ LEAL"
353,"ADRIANO JOSÉ LEAL"
994,"ADV."
324,"AFFONSO ARTHUR DE ALMEIDA ALBUQUERQUE"
272,"AGOSTINHO MARQUES PERDIGÃO MALHEIRO"
247,"AGOSTINHO PETRA DE BITENCOURT"
193,"ALBERTO TORRES"
305,"ALBINO JOSÉ BARBOZA DE OLIVEIRA"
344,"ALENCAR ARARIPE"
195,"ALENCAR ARARIPE"
322,"ALEXANDRE BERNARDINO DOS REIS E SILVA"
197,"ALFREDO PINTO"
198,"ALIOMAR BALEEIRO"
199,"AMARAL SANTOS"
200,"AMARO CAVALCANTI"
201,"AMERICO BRAZILIENSE"
202,"AMERICO LOBO"
159,"AMPHILOPHIO"
343,"ANDRADE PINTO"
203,"ANDRADE PINTO"
255,"ANDRÉ ALVES PEREIRA RIBEIRO E CIRNE"
204,"ANDRÉ CAVALCANTI"
205,"ANNIBAL FREIRE"
359,"ANTONIO AUGUSTO DA SILVA"
264,"ANTONIO AUGUSTO DA SILVA"
358,"ANTONIO BUARQUE DE LIMA"
278,"ANTONIO CERQUEIRA LIMA"
310,"ANTONIO DA COSTA PINTO"
263,"ANTONIO DA SILVA TELLES"
338,"ANTONIO FRANCISCO DE AZEVEDO"
253,"ANTONIO GERARDO CURADO DE MENEZES"
293,"ANTONIO IGNACIO DE AZEVEDO"
279,"ANTONIO JOSÉ DA VEIGA"
266,"ANTONIO JOSÉ DE CARVALHO CHAVES"
243,"ANTONIO JOSÉ DE MIRANDA"
261,"ANTONIO LUIZ FIGUEIRA PEREIRA DA CUNHA"
275,"ANTONIO PEREIRA BARRETO PEDROSO"
295,"ANTONIO PINTO CHICHORRO DA GAMA"
306,"ANTONIO RODRIGUES FERNANDES BRAGA"
297,"ANTONIO SIMOENS DA SILVA"
208,"AQUINO E CASTRO"
210,"ARMANDO DE ALENCAR"
211,"ARTHUR RIBEIRO"
209,"ARY FRANCO"
212,"ATAULPHO DE PAIVA"
192,"AUGUSTO OLYNTHO"
319,"BARÃO DE ARACATI"
329,"BARÃO DE ARAUJO GOES"
351,"BARÃO DE ASSU"
303,"BARÃO DE CAMPO GRANDE"
270,"BARÃO DE ITAMARACÁ"
213,"BARÃO DE LUCENA"
320,"BARÃO DE MUCURI"
115,"BARÃO DE PEREIRA FRANCO"
286,"BARÃO DE PIRAPAMA"
366,"BARÃO DE SOBRAL"
333,"BARÃO DO DESTERRO"
217,"BARATA RIBEIRO"
218,"BARROS BARRETO"
219,"BARROS MONTEIRO"
220,"BARROS PIMENTEL"
222,"BENTO DE FARIA"
223,"BENTO LISBOA"
368,"BERNARDINO FERREIRA"
224,"BILAC PINTO"
314,"CAETANO JOSÉ DA SILVA SANTIAGO"
225,"CANDIDO MOTTA"
226,"CANUTO SARAIVA"
227,"CARDOSO DE CASTRO"
228,"CARDOSO RIBEIRO"
230,"CARLOS MAXIMILIANO"
231,"CARLOS MEDEIROS"
232,"CARVALHO MOURÃO"
277,"CASSIANO SPIRIDIÃO DE MELO MATOS"
233,"CASTRO NUNES"
236,"COELHO E CAMPOS"
99,"CONSELHO"
98,"CONVOCADO"
281,"CORNELIO FERREIRA FRANÇA"
238,"COSTA BARRADAS"
239,"COSTA MANSO"
173,"CUNHA MELLO"
317,"CUSTODIO MANOEL DA SILVA GUIMARÃES "
294,"CYPRIANO JOSÉ VELLOZO"
346,"D'AQUINO E CASTRO"
177,"EDGARD COSTA"
178,"EDMUNDO LINS"
179,"EDUARDO ESPINOLA"
180,"ELOY DA ROCHA"
181,"ENÉAS GALVÃO"
182,"EPITACIO PESSÔA"
291,"ERNESTO FERREIRA FRANÇA"
254,"EUZEBIO DE QUEIROZ COUTINHO DA SILVA"
184,"EVANDRO LINS"
365,"FARIA"
352,"FARIA"
185,"FARIA LEMOS"
188,"FERREIRA DE RESENDE"
189,"FIGUEIREDO JUNIOR"
313,"FIRMINO PEREIRA MONTEIRO"
158,"FIRMINO WHITAKER"
269,"FRANCICO DE PAULA PEREIRA DUARTE"
280,"FRANCICO JOSÉ ALVEZ CARNEIRO"
245,"FRANCISCO ALBERTO TEIXEIRA DE ARAGÃO"
315,"FRANCISCO BALTHAZAR DA SILVEIRA"
259,"FRANCISCO CARNEIRO DE CAMPOS"
372,"FRANCISCO DE FARIAS LIMA"
300,"FRANCISCO DE PAULA CERQUEIRA LEITE"
335,"FRANCISCO DOMINGUES DA SILVA"
330,"FRANCISCO JORGE MONTEIRO"
258,"FRANCISCO JOSÉ DE FREITAS"
309,"FRANCISCO MARIA DE FREITAS E ALBUQUERQUE"
341,"FRANCISCO MARIANI"
342,"FRANCISCO SOARES BERNARDES DE GOUVEIA"
348,"FREITAS HENRIQUES"
160,"FREITAS HENRIQUES"
161,"GEMINIANO DA FRANCA"
162,"GODOFREDO CUNHA"
163,"GONÇALVES DE CARVALHO"
164,"GONÇALVES DE OLIVEIRA"
371,"GOULART DE OLIVEIRA"
166,"GUIMARÃES NATAL"
287,"GUSTAVO ADOLFO D’AGUILAR PANTOJA"
167,"HAHNEMANN GUIMARÃES"
168,"HEITOR DE SOUSA"
169,"HERCULANO DE FREITAS"
170,"HERMENEGILDO DE BARROS"
171,"HERMES LIMA"
183,"HERMINIO DO ESPIRITO SANTO"
312,"JERONIMO MARTINIANO FIGUEIRA DE MELLO"
316,"JOÃO ANTONIO DE VASCONCELLOS"
260,"JOÃO ANTONIO RODRIGUES DE CARVALHO"
142,"JOAO BARBALHO"
256,"JOÃO CARLOS LEAL"
249,"JOÃO DE MEDEIROS GOMES"
262,"JOÃO GOMES DE CAMPOS "
301,"JOÃO JOAQUIM DA SILVA"
248,"JOÃO JOSÉ DA VEIGA"
292,"JOÃO JOSÉ DE OLIVEIRA JUNQUEIRA"
311,"JOÃO LOPES DA SILVA COITO"
143,"JOAO LUIZ ALVES"
144,"JOAO MENDES"
221,"JOÃO PEDRO"
350,"JOAQUIM CAETANO DA SILVA GUIMARÃES"
283,"JOAQUIM FRANCISCO GONÇALVES PONCE DE LEÃO"
289,"JOAQUIM MARCELINO DE BRITO"
356,"JOAQUIM PEDRO VILLAÇA"
362,"JOAQUIM TIBURCIO FERREIRA GOMES"
304,"JOAQUIM VIEIRA DA SILVA E SOUZA"
240,"JOSÉ ALBANO FRAGOSO"
332,"JOSÉ ANTONIO DE MAGALHÃES CASTRO"
276,"JOSÉ ANTONIO DE SIQUEIRA E SILVA "
360,"JOSÉ ASCENÇO DA COSTA FERREIRA"
328,"JOSÉ BAPTISTA DE LISBOA"
250,"JOSÉ BERNARDO DE FIGUEIREDO"
251,"JOSÉ DA CRUZ FERREIRA"
307,"JOSÉ DE ASSIS MASCARENHAS"
146,"JOSÉ HYGINO"
326,"JOSÉ IGNACIO ACCIOLI DE VASCONCELLOS"
147,"JOSÉ LINHARES"
268,"JOSÉ MARIA DE SALLES GAMEIRO DE MENDONÇA PEÇANHA "
296,"JOSÉ MARIANI"
318,"JOSÉ MATTOSO DE ANDRADE CAMARA"
257,"JOSÉ PAULO FIGUEIRÔA NABUCO ARAUJO"
325,"JOSÉ PEREIRA DA COSTA MOTTA"
246,"JOSÉ RICARDO DA COSTA AGUIAR D’ANDRADA"
337,"JOSÉ TAVARES BASTOS"
267,"JOSÉ VERNEQUE RIBEIRO D’AGUILAR"
148,"LAFAYETTE DE ANDRADA"
149,"LAUDO DE CAMARGO"
151,"LEONI RAMOS"
321,"LOURENÇO JOSÉ DA SILVA SANTIAGO "
152,"LUCIO DE MENDONCA"
339,"LUIZ ANTÔNIO BARBOZA D’ALMEIDA"
361,"LUIZ BARBOSA ACCIOLI DE BRITO"
340,"LUIZ CARLOS DE PAIVA TEIXEIRA"
153,"LUIZ GALLOTTI"
244,"LUIZ JOAQUIM DUQUE ESTRADA FURTADO DE MENDONÇA"
347,"LUIZ JOSÉ DE SAMPAIO"
369,"LUIZ OSORIO"
154,"MACEDO SOARES"
252,"MANOEL CAETANO D’ALMEIDA E ALBUQUERQUE"
288,"MANOEL DOS SANTOS MARTINS VALLASQUES"
327,"MANOEL ELIZARIO DE CASTRO MENEZES"
155,"MANOEL ESPINOLA"
334,"MANOEL FELIPPE MONTEIRO"
323,"MANOEL JOSÉ DE FREITAS TRAVASSOS"
298,"MANOEL MACHADO NUNES"
299,"MANOEL MESSIAS DE LEÃO"
156,"MANOEL MURTINHO"
265,"MANOEL PINTO RIBEIRO PEREIRA DE SAMPAIO"
302,"MANOEL RODRIGUES VILLARES"
130,"MARIO GUIMARAES"
282,"MARQUÊS DE SAPUCAÍ"
131,"MENDONÇA UCHÔA"
354,"MENDONÇA UCHÔA"
284,"MIGUEL JOAQUIM DE CASTRO MASCARENHAS"
20,"MIN. ALDIR PASSARINHO"
18,"MIN. ALFREDO BUZAID"
5,"MIN. ANTONIO NEDER"
38,"MIN. AYRES BRITTO"
24,"MIN. CARLOS MADEIRA"
29,"MIN. CARLOS VELLOSO"
42,"MIN. CÁRMEN LÚCIA"
25,"MIN. CÉLIO BORJA"
28,"MIN. CELSO DE MELLO"
37,"MIN. CEZAR PELUSO"
15,"MIN. CLOVIS RAMALHETE"
9,"MIN. CORDEIRO GUERRA"
11,"MIN. CUNHA PEIXOTO"
13,"MIN. DÉCIO MIRANDA"
44,"MIN. DIAS TOFFOLI"
2,"MIN. DJACI FALCÃO"
35,"MIN. ELLEN GRACIE"
40,"MIN. EROS GRAU"
16,"MIN. FIRMINO PAZ"
21,"MIN. FRANCISCO REZEK"
32,"MIN. FRANCISCO REZEK"
36,"MIN. GILMAR MENDES"
31,"MIN. ILMAR GALVÃO"
39,"MIN. JOAQUIM BARBOSA"
8,"MIN. LEITÃO DE ABREU"
45,"MIN. LUIZ FUX"
30,"MIN. MARCO AURÉLIO"
33,"MIN. MAURÍCIO CORRÊA"
43,"MIN. MENEZES DIREITO"
10,"MIN. MOREIRA ALVES"
34,"MIN. NELSON JOBIM"
17,"MIN. NÉRI DA SILVEIRA"
23,"MIN. OCTAVIO GALLOTTI"
19,"MIN. OSCAR CORRÊA"
26,"MIN. PAULO BROSSARD"
14,"MIN. RAFAEL MAYER"
41,"MIN. RICARDO LEWANDOWSKI"
7,"MIN. RODRIGUES ALCKMIN"
27,"MIN. SEPÚLVEDA PERTENCE"
12,"MIN. SOARES MUÑOZ"
22,"MIN. SYDNEY SANCHES"
3,"MIN. THOMPSON FLORES"
850,"MIN. WASHINGTON BOLIVAR"
6,"MIN. XAVIER DE ALBUQUERQUE"
1,"MINISTRO PRESIDENTE"
242,"MONSENHOR"
132,"MUNIZ BARRETO"
133,"NELSON HUNGRIA"
134,"OCTAVIO KELLY"
135,"OLIVEIRA FIGUEIREDO"
136,"OLIVEIRA RIBEIRO"
373,"OLYMPIO DE SÁ E ALBUQUERQUE"
137,"OROZIMBO NONATO"
139,"OSWALDO TRIGUEIRO"
140,"PEDRO CHAVES"
141,"PEDRO DOS SANTOS"
113,"PEDRO LESSA"
114,"PEDRO MIBIELI"
995,"PFN"
991,"PGR"
116,"PHILADELPHO E AZEVEDO"
117,"PINDAHIBA DE MATTOS"
118,"PIRES E ALBUQUERQUE"
119,"PIZA E ALMEIDA"
120,"PLÍNIO CASADO"
121,"PRADO KELLY"
500,"PRESIDENTE DA COMISSÃO DE JURISPRUDÊNCIA"
122,"QUEIROZ BARROS"
355,"QUEIROZ BARROS "
399,"RELATOR NÃO INFORMADO"
124,"RIBEIRO DA COSTA"
125,"RIBEIRO DE ALMEIDA"
126,"ROCHA LAGÔA"
127,"RODRIGO OCTAVIO"
100,"SEBASTIAO LACERDA"
349,"SILVERIO FERNANDES DE ARAUJO JORGE"
102,"SORIANO DE SOUZA"
103,"SOUZA MARTINS"
357,"SOUZA MENDES"
104,"SOUZA MENDES"
992,"SPGR"
105,"THEMISTOCLES CAVALCANTI"
273,"THOMAZ XAVIER GARCIA D’ALMEIDA"
290,"TIBURCIO VALERIANO DA SILVA TAVARES"
363,"TRIGO DE LOUREIRO"
107,"TRIGO DE LOUREIRO"
172,"UBALDINO DO AMARAL"
400,"VICE-PRESIDENTE"
374,"VICENTE PIRAGIBE"
108,"VICTOR NUNES"
207,"VILAS BOAS"
345,"VIRIATO BANDEIRA DUARTE"
271,"VISCONDE DE ABAETÉ"
241,"VISCONDE DE CONGONHAS DO CAMPO"
336,"VISCONDE DE JARI"
285,"VISCONDE DE MONSERRATE"
331,"VISCONDE DE SABARÁ"
364,"VISCONDE DE SABARÁ"
308,"VISCONDE DE VALDETARO"
109,"VIVEIROS DE CASTRO"
993,"VPGR"
110,"WALDEMAR FALCÃO"
111,"WASHINGTON DE OLIVEIRA"
